Step;GaLore;AdamW;POET (b=4);POET (b=2)
106000;30.66471456433803;28.152582566054722;35.04187682730576;31.056190738951333
108000;30.591268245252174;28.132990058522402;34.88771467779092;30.910003349343743
110000;30.56288771870042;28.08298373020567;34.71811909991949;30.785921910364788
112000;30.520362650831398;28.065614268292762;34.65104562125528;30.683692577311618
114000;30.461399004581068;28.02656389574519;34.469259958391326;30.532167613329868
116000;30.430788165254153;27.987567857714634;34.317625143784284;30.414315917654015
118000;30.397852586515047;27.961602869720778;34.18250496855772;30.240715877932026
120000;30.374343827073027;27.918376971351975;34.06900488787414;30.135640811672523
122000;30.346164548444715;27.903264697047124;33.96638343797016;30.000738276779213
124000;30.33208109834753;27.896792412810644;33.80910879077953;29.908060699743015
126000;30.30394102824386;27.870911640185163;33.66557883800921;29.73275635948201
128000;30.28519789344886;27.857976938252037;33.57195973659834;29.668431005966376
130000;30.257094104583427;27.829975657913927;33.44754177618509;29.53561994102091
132000;30.23370141167506;27.81706658619851;33.30297411055165;29.385224264383933
134000;30.212660570350888;27.80415687339143;33.182116153580544;29.31937884890386
136000;30.189302230378644;27.780507937031736;33.06425871460424;29.212984499164595
138000;30.170622806999365;27.761180989886988;32.95956337714871;29.09571537070288
140000;30.144961063615305;27.7397113507452;32.82218316552945;28.949795909055048
142000;30.130978174481232;27.73756860683616;32.713192117474094;28.851428042002713
144000;30.10069220042808;27.733277003422433;32.60960840439137;28.782331662288367
146000;30.082074776020825;27.722554204467205;32.51390217274805;28.637983867858146
148000;30.06346169889236;27.713976307391775;32.38338223320552;28.551721547120614
150000;30.05415947954121;27.70968835421842;32.28583815616237;28.48554329090042
152000;30.044867301731234;27.701114438087117;32.161209766304616;28.388752897484334
154000;30.030923681652162;27.68398116418717;32.086665302260535;28.287920699298336
156000;30.02395787761231;27.688265139285214;32.017247382719155;28.17437175415982
158000;30.01002396145581;27.679697851912984;31.90352736672823;28.102541412098685
160000;30.01234940941282;27.67327742498364;31.824655442314445;28.024398994015694
162000;29.99377947437599;27.66471477510151;31.733704234582774;27.955117053690095
164000;29.99377947437599;27.654018485057943;31.640561158230412;27.86013562615048
166000;29.979866711569066;27.647597422868333;31.574547327444662;27.780507937031736
168000;29.979866711569066;27.645461794266133;31.49405577292315;27.722554204467205
170000;29.96826814579278;27.63690775108076;31.39676507450269;27.649739808660023
172000;29.972905604318225;27.639049308540038;31.343378501097956;27.6005924566058
174000;29.96826814579278;27.63049724950238;31.270729637181677;27.55366083636715
176000;29.963631404782745;27.628362941796848;31.22238815305743;27.498304432713503
178000;29.963631404782745;27.624088234867866;31.174128832621772;27.434567826380828
180000;29.963631404782745;27.626222212349706;31.121120826436993;27.392156672550325
182000;29.963631404782745;27.621947836637997;31.075418440648825;27.339236546582228
184000;29.963631404782745;27.619814189328753;31.03218023978215;27.309646988367135
186000;29.959002523959064;27.619814189328753;31.00098842781666;27.27586863379076
188000;29.95204626122101;27.619814189328753;30.945884238669333;27.244243025158596
190000;29.95204626122101;27.621947836637997;30.914779166617674;27.221070325752393
192000;29.94973262630686;27.619814189328753;30.89804493370295;27.20422747547478
194000;29.95204626122101;27.615540805077178;30.86937980031887;27.189501771746276
196000;29.95204626122101;27.615540805077178;30.85506088597446;27.17057951063531
198000;29.94973262630686;27.61340106912812;30.835969529000245;27.162178881225437
200000;29.94973262630686;27.619814189328753;30.816897331992017;27.15797630308085
200003;29.94973262630686;27.619814189328753;30.816897331992017;27.160074273134757
