Step;GaLore;AdamW;POET (b=4);POET (b=2)
2000;60.84271567972003;60.79567629918047;89.11649603347132;72.57737156385066
4000;49.11211142106635;46.050993911472446;65.94970225875471;54.924316444637384
6000;44.54792307250731;41.0251868521801;56.962231285079305;49.76218763289204
8000;41.88776151073429;38.408652753867024;53.008463707610865;46.52359584556459
10000;40.3111206873788;36.71788967583219;50.304001238620415;44.273104840103535
12000;38.947163071312055;35.53869018283612;48.178964949340866;42.9907056191903
14000;38.153992736804774;34.6537224354346;47.03742518452138;42.11192414884707
16000;37.4870054066166;33.974263917017446;45.798776363533335;40.91427190825176
18000;36.77189916902338;33.3906680938167;45.10966724113318;40.21146350441772
20000;36.21300008869302;32.94936504765082;44.35880358597542;39.60948324080739
22000;35.77035044621657;32.50132324314097;43.82336413121351;39.12229446230484
24000;35.445346393719284;32.17364939159807;43.004001643325736;38.56643635795385
26000;35.08256243421335;31.84927910256496;42.642950652186556;38.28407735097312
28000;34.82840045144696;31.59409595729269;42.42908973407668;37.950898248977815
30000;34.53865771750283;31.37006043092985;41.758362820326404;37.553757127800644
32000;34.30169856563649;31.186186665158093;41.55214792600285;37.368305794593866
34000;34.09008977406809;30.965043646721266;41.34055411049618;37.00873920325635
36000;33.845740410118715;30.776396147782755;41.1077740098324;36.868727587399704
38000;33.649954870149905;30.629152380844797;40.53625814614764;36.64412197090629
40000;33.49673282604466;30.449621404069568;40.36728755415948;36.10113173817215
42000;33.328741588892974;30.31332055878242;40.180374781425904;35.92285389001082
44000;33.17441941667016;30.203312185969132;40.077935227852954;35.79802700529279
46000;33.01314461025563;30.06346169889236;39.83686568412414;35.5606846391008
48000;32.86536873297121;29.93352077504953;39.51767488780376;35.5937060919127
50000;32.72584524386614;29.804134378729167;39.255671105782746;35.21033391944048
52000;32.62222146566812;29.70976904826063;39.02557629643386;35.139594954161076
54000;32.518925803896984;29.629439196491614;38.96524657919149;34.84995531817269
56000;32.3808730704263;29.521919697777278;38.763831375874105;34.586781613681424
58000;32.31581860485132;29.458050478991776;38.572404345433604;34.68054329547172
60000;32.18858789793338;29.34887870030793;38.42350882587912;34.328238786096286
62000;32.04697841951852;29.276322380253678;38.24855083301656;34.1587159969954
64000;31.990014985447974;29.215241219841438;38.17465675624207;34.074276917488994
66000;31.89611959944839;29.133997863127924;37.833661224221494;33.81956516082523
68000;31.829580168661067;29.061972771641383;37.781019633999335;33.72291273038769
70000;31.73124541082746;28.97891699347477;37.611901442229765;33.5174715313171
72000;31.665049928921697;28.925172544851023;37.42037233647102;33.406171672561804
74000;31.564785074461483;28.851428042002713;37.33941520454125;33.39583515377721
76000;31.479439594258203;28.80237638731468;37.17227375514948;33.148763346279146
78000;31.401616099955312;28.726725795418083;36.96296437812717;32.94172229837702
80000;31.33610826742483;28.711175960248728;36.931525381569045;33.02592162918049
82000;31.287665714343998;28.64684092938373;36.706537198651546;32.7613031647757
84000;31.212734781031912;28.600346326105694;36.528091282040094;32.483730210686936
86000;31.157246784737332;28.547303976590324;36.42088465991897;32.521445664250045
88000;31.08502934392791;28.50538132519141;36.218603892195325;32.2658615155805
90000;31.03698233405453;28.470124008311878;36.064844899663946;32.086665302260535
92000;30.979413600787694;28.417316394560398;36.01188249306596;31.99743693083335
94000;30.917174723187266;28.37119431585551;35.79526179972336;31.854207639315398
96000;30.866995306309306;28.322952376142005;35.72610734116258;31.68955009775082
98000;30.802595417987945;28.28573560915766;35.63503240390155;31.61609886426178
100000;30.764496756722032;28.259494001125727;35.40150527489855;31.372483787023793
102000;30.738329891484913;28.21362807246507;35.31671367355869;31.311873890045327
104000;30.690818762463707;28.18090843907609;35.174950847438666;31.23446465180275
