Step;POET (b=2);GaLore;POET (b=4);AdamW
2000;44.28950589427164;38.98966612712647;50.38686590990236;35.95612592497624
4000;37.18425786859057;31.420396557636604;41.738597433062374;28.800972115620674
6000;34.44781530513053;28.450173153905805;38.357268712002636;26.034461693885724
8000;32.83007604872278;26.805392163196966;36.69479672407567;24.493667720035877
10000;31.722665608536648;25.699634485535384;35.41630434745753;23.46709102242613
12000;30.679616250965903;24.832745127861884;34.5879402145382;22.72331949854148
14000;30.194722577897387;24.237065146387568;34.050398871240425;22.162955618913347
16000;29.731149008114677;23.749170025612564;33.46861907770746;21.720973253315876
18000;29.243320269520098;23.336246238131633;32.7685290471331;21.331873446468816
20000;28.924770838250595;22.95862117408149;32.464999187704244;21.022879022298973
22000;28.739270737854287;22.652938171966873;32.29758289470863;20.751712525964088
24000;28.24391088842124;22.419912820604303;31.56391399466889;20.521733477781698
26000;28.058477163517793;22.181637357565055;31.54699573423125;20.30674079751577
28000;27.717785808420963;21.971121927961846;31.32068048792211;20.115560954752606
30000;27.572739772488315;21.734286548465253;30.951041941985558;19.929231222649975
32000;27.227517290421268;21.567627349587404;30.666694091678902;19.776414424050614
34000;27.06326416151214;21.420284061811802;30.336125713927313;19.65033758733339
36000;26.73362907755639;21.25684731374705;30.091979318519495;19.509366709694508
38000;26.434318012720265;21.105158986400177;29.896703751292772;19.377568924489037
40000;26.20350449823961;20.963386563559148;29.692462356918455;19.262149077221686
42000;26.06339042320771;20.84809834793083;29.605033581763276;19.153281481334307
44000;25.922041608145523;20.723915786926586;29.19967409117284;19.064732345702613
46000;25.57102733125609;20.627315976901286;29.32406620940847;18.971506745125346
48000;25.631815589937148;20.50209476946449;28.666724657119754;18.876568760841785
50000;25.260536052839047;20.393247345541983;28.985759549555603;18.792176238045972
52000;25.171693957933208;20.29818887108992;28.353367744175472;18.72034625930462
54000;24.57070682810577;20.198930525008212;28.440369944692183;18.63522702738851
56000;24.54531332295981;20.09554074968497;28.057403493268293;18.564708454409494
58000;24.372026667538528;20.021795658728596;28.08643212702313;18.50366589997614
60000;24.174029421705583;19.945266852399815;27.758151408056495;18.447062262857543
62000;24.021757104542385;19.856858640438226;27.406405682808487;18.380071050377182
64000;23.8713573996;19.780957910654934;27.25046483290361;18.33156560250446
66000;23.610423026219433;19.702328991839938;27.03322241241643;18.273390549704697
68000;23.392617033201727;19.639803834183898;26.879406555692256;18.234940563836815
70000;23.19457868178964;19.5797246944437;26.769486572763114;18.193089164648278
72000;22.978851526668446;19.512356623232385;26.40093149477231;18.1492469470294
74000;22.759025532447055;19.451921826377703;26.249707239062634;18.09719295174586
76000;22.508524518735932;19.40579092300918;26.096350087995347;18.061190220941924
78000;22.2872244973979;19.355319215813125;25.921046599533796;18.022497071410054
80000;22.101083892725566;19.29611147885103;25.59748199514976;17.994220979337307
82000;21.910625464585525;19.253298007793823;25.39730893324174;17.96186157334948
84000;21.693538392180567;19.209845573151167;25.271180195620595;17.92887427730592
86000;21.52719165145804;19.173831464804056;24.950950357783213;17.89457586308881
88000;21.298403894800405;19.13495234219328;24.834645709275502;17.867870018689743
90000;21.09707936294406;19.096153193697464;24.749195525980035;17.84120296664349
92000;20.94492935788676;19.069844317939413;24.459922658694516;17.82412944887905
94000;20.647864732928294;19.036280161117205;24.221291904956367;17.79275783062841
96000;20.486396602472233;19.01005263967946;24.004283946800204;17.776410895823712
98000;20.30052162742312;18.97804723040215;23.847602044935815;17.759399382206315
100000;20.095541947472576;18.95915914678417;23.633036347257004;17.74240520564758
102000;19.891869614838857;18.940290990641945;23.363967605910776;17.726782855179728
104000;19.712141957337497;18.919992437127338;23.120083411769848;17.720674654710304
106000;19.535534388659812;18.904058836072153;22.89803282273417;17.708462456226474
108000;19.336797884937837;18.889584262826002;22.725059988966496;17.697615171831117
110000;19.161352183491854;18.874398507571502;22.5404399391467;17.687452404454916
112000;18.990405998135618;18.85850330375598;22.333361791260305;17.682033313330017
114000;18.806576170179337;18.857060073146314;22.190984131310017;17.67255679541957
116000;18.655933944430533;18.84334365832379;21.962709481482175;17.66984879772191
118000;18.508626325983162;18.83396543731656;21.79847164883192;17.663084303557046
120000;18.354044184255507;18.822427606344878;21.6222092315041;17.659701975047767
122000;18.20563340354686;18.818103162841354;21.463805328828613;17.652940313162716
124000;18.072951918666703;18.813779712876606;21.311459457517618;17.64820816436935
126000;17.955672370706772;18.81377859148798;21.179649734527423;17.64820921628456
128000;17.843252291907216;18.806576170179337;21.041404919202712;17.644154548879786
130000;17.726783911778355;18.808736382791786;20.908863771230227;17.64010081303286
132000;17.638073768721135;18.805855407166533;20.789894795018807;17.64010081303286
134000;17.55182341202828;18.802255368535494;20.68664751032952;17.636722885664053
136000;17.480049501583245;18.796495843840813;20.60994454164795;17.635372106069806
138000;17.412567546661947;18.797216248134117;20.52566396564043;17.631996135156488
140000;17.352653956898287;18.797215127732752;20.450340441136127;17.634022481000077
142000;17.308186536232697;18.792896476783817;20.397934976622786;17.631995084207656
144000;17.267138545825116;18.793616743125902;20.352676821905675;17.631321438893423
146000;17.239388890113243;18.792177358146997;20.31996604010405;17.6326708572381
148000;17.218274423722587;18.792896476783817;20.286531528046545;17.6313203879848
150000;17.199822402705138;18.792176238045972;20.257031076175064;17.62861975976369
150002;17.197187867981892;18.792896476783817;20.258582661480617;17.629970022162638
