Step;POET (b=2);POET (b=4);GaLore;AdamW
4000;49.18815148382296;56.931411086796885;41.616482931046235;41.44942267456661
8000;41.45903927998196;46.62447669590076;34.44261071011261;33.68901634461373
12000;38.25446962910059;42.85788952159309;31.66749607313233;30.68607022720317
16000;36.78612216157605;40.99346901456409;30.0495166136413;28.987886408926755
20000;35.35224777579255;39.51767488780376;28.994611835903342;27.881691822271286
24000;34.70200665523043;38.58135345904186;28.25074996444146;27.082453902296773
28000;34.02160142395994;37.94209537221182;27.577116662771505;26.485805393093425
32000;33.38034433063401;37.24422753506909;27.12648091985892;26.020778636781905
36000;33.00293757019538;36.757672911937775;26.751411500179422;25.619342812831146
40000;32.34332835158921;36.38990673142403;26.406025788134045;25.282707369946205
44000;32.10156342112367;35.970119144169686;26.141823199211817;24.9968545761854
48000;31.95539183826898;35.74545642951644;25.906303627738716;24.723792919164534
52000;31.474576546374934;35.50021780131344;25.672905923134817;24.54657301092366
56000;31.080227225843828;35.02020325619394;25.433738839954557;24.332954618724784
60000;31.065803102213785;34.89581723303914;25.298354525163237;24.169753254950322
64000;30.525085543568682;34.67249899183482;25.080136983128824;23.990938603483002
68000;30.402549272821823;34.41331541040422;24.969800203894643;23.85954787269504
72000;30.26880445415932;34.11383095263768;24.821517791742743;23.728871069693664
76000;29.982182674359482;33.69684050617637;24.71996761221005;23.580659305499587
80000;29.861825768282237;33.84050374005786;24.552273870547527;23.438815602404745
84000;29.64548635862471;33.525247859126715;24.414025099913374;23.34111924002527
88000;29.33071928321486;33.16671655748918;24.325425529640096;23.25101886554244
92000;29.28085276319591;33.15133201213893;24.22403364926988;23.14872905200343
96000;29.124990181890194;32.84249640916425;24.11560023990675;23.018383351639535
100000;28.70451627746265;32.672730305458;23.990938603483002;22.956151271918188
104000;28.53847088590589;32.713192117474094;23.92052738299694;22.883462450286387
112000;28.24419707947804;32.12391974093963;23.752740338402017;22.719439429762094
108000;28.200534318149433;32.25837730793916;23.831877710700407;22.77927009242308
116000;27.806311390824696;32.04202005694772;23.66837449711582;22.654509882956194
120000;27.660434443755545;31.777919892887684;23.566074553123453;22.589765897332885
124000;27.523839204370677;31.53305791790445;23.491454458079506;22.519976753170084
128000;27.330783771606015;31.401616099955312;23.435189109308723;22.457351957750106
132000;27.111797300499283;31.1885958168927;23.359178941915054;22.382784243608356
136000;26.857150869890607;30.919563093587062;23.29602549347642;22.339541947068945
140000;26.641965709499374;30.66945979490307;23.22585403055848;22.311910942930247
144000;26.459183342847766;30.62678644311483;23.17202027078219;22.267085423890293
148000;26.26749499301847;30.350860484786953;23.127253214054093;22.225783473603997
152000;26.145868532104462;30.189302230378644;23.066508559826318;22.16226473878624
156000;25.95444505167571;29.947412030088326;23.030849997641035;22.119448473687623
160000;25.816282851930882;29.799530137533285;22.991694178400074;22.071594136691814
164000;25.57380448699758;29.638609958457025;22.941952780795766;22.028953042162705
168000;25.34340236745849;29.369317982652422;22.8710755854644;21.979591310137053
172000;25.177319398122044;29.143015278467164;22.83748866147067;21.962598210006806
176000;24.942775112850367;28.92293133465841;22.805712679952638;21.928646185061602
180000;24.748668896961302;28.72228114793523;22.773980911395867;21.9049125686614
184000;24.55037148582138;28.55834578027829;22.749332379867965;21.871049720065695
188000;24.33860006341517;28.307621104346705;22.724710525718464;21.84737844095684
192000;24.209045194848656;28.137343515784547;22.705381932678858;21.820356176778283
196000;24.07459444649613;27.963762920411785;22.68606977965104;21.788312268668804
200000;23.863234344016014;27.791259777846786;22.6632724144716;21.76978013289597
204000;23.6537354924674;27.59419037851874;22.636989585375975;21.749583591251007
208000;23.516907066805672;27.394279264483412;22.62298849730772;21.727722126266464
212000;23.31224941969274;27.189501771746276;22.60374642434449;21.715960866035303
216000;23.164850397348218;26.988352603579493;22.589765897332885;21.704205972198256
220000;23.002363938566486;26.82601075282266;22.567059928085172;21.689101147694306
224000;22.853393251337877;26.66876530888069;22.55484433259274;21.677360793077494
228000;22.68958034980466;26.461227330723908;22.542635349427027;21.662274651206754
232000;22.514753146107328;26.306126401704162;22.533919461047045;21.658928191414358
236000;22.394906652181984;26.12565435452085;22.513008634673316;21.65389914563743
240000;22.232662691545976;25.974526759649;22.5060480381072;21.647199008385176
244000;22.122871361670448;25.85025661618722;22.50778664389611;21.64050610378371
248000;21.98469599683174;25.682835939206925;22.493865468475054;21.635481335481696
252000;21.871049720065695;25.54810522019727;22.49560313315311;21.627116189284536
256000;21.773148911231214;25.43964574088008;22.49560313315311;21.627116189284536
260000;21.668979454599697;25.310100772060736;22.4851630756089;21.622099685133062
264000;21.573649616332848;25.19875229724338;22.479947543730855;21.623770005378418
268000;21.50201616014391;25.105365512844138;22.474733221618234;21.620429493910983
272000;21.420669643305732;25.02006651550014;22.474733221618234;21.61875427738893
276000;21.364407398984422;24.936983581674973;22.467779102349464;21.617084344581656
280000;21.314888170362455;24.869564409504736;22.467779102349464;21.612065014641974
284000;21.263841074723235;24.823441187335924;22.467779102349464;21.612065014641974
288000;21.229329281350505;24.765904479839975;22.469514751840002;21.60872115947899
292000;21.203071460728015;24.737183206806762;22.459092156401635;21.610395598544365
296000;21.189952205909414;24.708495242127995;22.46430284965907;21.610395598544365
300003;21.16374308942495;24.68939234217901;22.462567602760018;21.612065014641974
300000;21.160468599386647;24.68939234217901;22.459092156401635;21.610395598544365
